"ID";"Name";"Longitude_WGS84";"Latitude_WGS84";"Street";"AdmArea";"District";"RouteNumbers";"StationName";"Direction";"Pavilion";"OperatingOrgName";"EntryState";"global_id";"geoData";
"16057";"«Метро Планерная», Планерная улица (в центр) (1)";"37.4340233679736";"55.8614000472904";"Планерная улица";"Северо-Западный административный округ";"район Северное Тушино";"А959";"Метро Планерная";"в центр";"нет";"";"активна";"1725427";"{type=Point, coordinates=[37.4340233997691, 55.8613996794896]}";
"14806";"«Ул. Красная Сосна, 7», улица Красная Сосна (в центр)";"37.6870054242931";"55.8481336433849";"улица Красная Сосна";"Северо-Восточный административный округ";"Ярославский район";"А834";"Ул. Красная Сосна, 7";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725428";"{type=Point, coordinates=[37.6870054556608, 55.8481332757449]}";
"15727";"«Мост Окружной ж.д.», 2-я улица Измайловского Зверинца (от центра)";"37.7462550123467";"55.782307471531";"2-я улица Измайловского Зверинца";"Восточный административный округ";"район Измайлово";"А131; А7";"Мост Окружной ж.д.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725429";"{type=Point, coordinates=[37.7462550428751, 55.7823071031068]}";
"15728";"«1-я ул. Измайловского зверинца», 2-я улица Измайловского Зверинца (в центр)";"37.7469214040243";"55.7805382453159";"2-я улица Измайловского Зверинца";"Восточный административный округ";"район Измайлово";"А131; А7";"1-я ул. Измайловского зверинца";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725430";"{type=Point, coordinates=[37.7469214347084, 55.7805378771246]}";
"15729";"«1-я ул. Измайловского зверинца», 2-я улица Измайловского Зверинца (от центра)";"37.7465246231176";"55.7796414246267";"2-я улица Измайловского Зверинца";"Восточный административный округ";"район Измайлово";"А131; А7";"1-я ул. Измайловского зверинца";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725431";"{type=Point, coordinates=[37.7465246542359, 55.7796410563566]}";
"15779";"«Совхоз Ульяновский», проезд без названия (от центра)";"37.34490532998";"55.6161374967794";"проезд без названия";"Новомосковский административный округ";"поселение Московский";"А870; А881; А892; А844";"Совхоз Ульяновский";"от центра";"нет";"";"активна";"1725433";"{type=Point, coordinates=[37.3449053615328, 55.6161371279227]}";
"15780";"«Совхоз Ульяновский», проезд без названия (в центр)";"37.3447848203953";"55.6157691744831";"проезд без названия";"Новомосковский административный округ";"поселение Московский";"А844; А30П; А881";"Совхоз Ульяновский";"в центр";"нет";"";"активна";"1725434";"{type=Point, coordinates=[37.3447848507401, 55.6157688051365]}";
"15794";"«Попутная ул.», проезд № 3 (от центра)";"37.3873588563933";"55.6530378480866";"проезд № 3";"Западный административный округ";"район Солнцево";"А720ф; А695; А166; А686; А750; А718ф; А689; А814; А734; А881";"Попутная ул.";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725435";"{type=Point, coordinates=[37.3873588875196, 55.6530374793264]}";
"15805";"«Митинская ул., 32», Митинская улица (в центр)";"37.3678879999406";"55.8434567031541";"Митинская улица";"Северо-Западный административный округ";"район Митино";"А266; А614; А741; АС3; А736; А959";"Митинская ул., 32";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725436";"{type=Point, coordinates=[37.3678880319029, 55.8434563353577]}";
"15806";"«МЖК Рождествено», Муравская улица (от центра)";"37.3604641621062";"55.8604837494588";"Муравская улица";"Северо-Западный административный округ";"район Митино";"А2; А614";"МЖК Рождествено";"от центра";"нет";"";"активна";"1725437";"{type=Point, coordinates=[37.3604641936774, 55.8604833818256]}";
"15809";"«Метро Авиамоторная», шоссе Энтузиастов (в центр) (5)";"37.7180473161496";"55.7519608175245";"шоссе Энтузиастов";"Юго-Восточный административный округ";"район Лефортово";"Тм32";"Метро Авиамоторная";"в центр";"нет";"";"активна";"1725438";"{type=Point, coordinates=[37.7180473473406, 55.7519604491601]}";
"15812";"«Бизнес парк Румянцево», Киевское шоссе (от центра)";"37.443526266286";"55.6326366766409";"Киевское шоссе";"Новомосковский административный округ";"поселение Московский";"А611; А707; А802";"Бизнес парк Румянцево";"от центра";"нет";"";"активна";"1725439";"{type=Point, coordinates=[37.4435262977806, 55.6326363076368]}";
"15861";"«5-й автобусный парк», 2-й Силикатный проезд (в центр)";"37.4982686542771";"55.7727498762286";"2-й Силикатный проезд";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"А294; А48";"5-й автобусный парк";"в центр";"нет";"";"активна";"1725440";"{type=Point, coordinates=[37.4982686843058, 55.7727495078186]}";
"15862";"«Ул. Алексея Дикого», улица Алексея Дикого (в центр) (1)";"37.8124076438954";"55.7462718507412";"улица Алексея Дикого";"Восточный административный округ";"район Новогиреево";"А21";"Ул. Алексея Дикого";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725441";"{type=Point, coordinates=[37.8124076746618, 55.7462714820006]}";
"15863";"«Сеченовский пер.», улица Пречистенка (в центр)";"37.5955456324858";"55.7423179033031";"улица Пречистенка";"Центральный административный округ";"район Хамовники";"А255; АТ15; АМ3";"Сеченовский пер.";"в центр";"нет";"";"активна";"1725442";"{type=Point, coordinates=[37.5955456630211, 55.7423175346992]}";
"15869";"«Ул. Василия Петушкова, 7», улица Василия Петушкова (в центр)";"37.4061854083081";"55.837517302184";"улица Василия Петушкова";"Северо-Западный административный округ";"район Южное Тушино";"А43; А777; А837; А88К; А88";"Ул. Василия Петушкова, 7";"в центр";"нет";"";"активна";"1725443";"{type=Point, coordinates=[37.4061854401097, 55.8375169345726]}";
"15870";"«63-й км МКАД», проспект Маршала Жукова (в центр) (1)";"37.3805320012599";"55.7879129042079";"проспект Маршала Жукова";"Северо-Западный административный округ";"район Строгино";"А626";"63-й км МКАД";"в центр";"нет";"";"активна";"1725444";"{type=Point, coordinates=[37.3805320331163, 55.7879125363992]}";
"15871";"«Мега Теплый Стан (к/ст)», проезд без названия (от центра)";"37.4938489037252";"55.6024737938549";"проезд без названия";"Новомосковский административный округ";"поселение Сосенское";"А961; А964; А962";"Мега Теплый Стан (к/ст)";"от центра";"нет";"";"активна";"1725445";"{type=Point, coordinates=[37.4938489345153, 55.6024734246509]}";
"15874";"«Мега-Оби (выс.)», проезд без названия (от центра)";"37.4975894291145";"55.6028685137444";"проезд без названия";"Новомосковский административный округ";"поселение Сосенское";"А961; А964; А962";"Мега-Оби (выс.)";"от центра";"нет";"";"активна";"1725447";"{type=Point, coordinates=[37.4975894599548, 55.6028681446425]}";
"15877";"«Метро Юго-Западная», проспект Вернадского (14)(от центра)";"37.4823494794229";"55.6633591207858";"проспект Вернадского";"Западный административный округ";"район Тропарёво-Никулино";"Тб62; ТбМ4";"Метро Юго-Западная";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725448";"{type=Point, coordinates=[37.4823495106949, 55.6633587517457]}";
"15880";"«Б-ца им. Боткина», 2-й Боткинский проезд (в центр)";"37.5551980510272";"55.7814376629097";"2-й Боткинский проезд";"Северный административный округ";"район Беговой";"А847; А847Ф; А175";"Б-ца им. Боткина";"в центр";"нет";"";"активна";"1725449";"{type=Point, coordinates=[37.5551980816204, 55.7814372946704]}";
"15891";"«Метро ВДНХ», 1-я Останкинская улица (от центра) (1)";"37.6375911192988";"55.81991290202";"1-я Останкинская улица";"Северо-Восточный административный округ";"Останкинский район";"Тб37; АМ9";"Метро ВДНХ";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725450";"{type=Point, coordinates=[37.6375911499732, 55.8199125339294]}";
"15255";"«Метро Каширская», проезд без названия (в центр) (1)";"37.6510848972587";"55.6556804537588";"проезд без названия";"Южный административный округ";"район Нагатино-Садовники";"А148; А709; А263";"Метро Каширская";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725453";"{type=Point, coordinates=[37.6510849276671, 55.6556800847567]}";
"15256";"«Б-ца им. Боткина», 2-й Боткинский проезд (от центра)";"37.5542266622886";"55.7822561753306";"2-й Боткинский проезд";"Северный административный округ";"район Беговой";"А12ц; А207";"Б-ца им. Боткина";"от центра";"нет";"";"активна";"1725454";"{type=Point, coordinates=[37.5542266928914, 55.7822558069934]}";
"15257";"«Лечебный корпус», проезд без названия (от центра)";"37.5499789271955";"55.783188349138";"проезд без названия";"Северный административный округ";"Хорошёвский район";"А207; А12Ц";"Лечебный корпус";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725455";"{type=Point, coordinates=[37.5499789579137, 55.7831879808683]}";
"15258";"«Лечебный корпус», 2-й Боткинский проезд (в центр)";"37.5512121293544";"55.7829880915457";"2-й Боткинский проезд";"Северный административный округ";"район Беговой";"А12Ц; А847; А847Ф; А84; А175";"Лечебный корпус";"в центр";"нет";"";"активна";"1725456";"{type=Point, coordinates=[37.5512121597323, 55.7829877232739]}";
"15259";"«Храм», улица Поликарпова (от центра)";"37.5451155966791";"55.7807400317157";"улица Поликарпова";"Северный административный округ";"Хорошёвский район";"А12ц; А207";"Храм";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725457";"{type=Point, coordinates=[37.5451156272347, 55.7807396634932]}";
"15893";"«Б. Косинская ул., 160», Большая Косинская улица (от центра)";"37.8508432574124";"55.7259759823248";"Большая Косинская улица";"Восточный административный округ";"район Косино-Ухтомский";"А723; А773; А79";"Б. Косинская ул., 160";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725458";"{type=Point, coordinates=[37.8508432878808, 55.7259756136594]}";
"15894";"«Метро Технопарк», проспект Андропова (в центр)";"37.66699471";"55.69623401";"проспект Андропова";"Южный административный округ";"район Нагатинский Затон";"А156; А216; А263; А291; А299; А608; А670; А901; Тб67";"Метро Технопарк";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725459";"{type=Point, coordinates=[37.6669947404108, 55.6962336411229]}";
"15908";"«58-й км МКАД», 59-й километр Московской Кольцевой Автодороги (от центра)";"37.3694137688015";"55.7536082114489";"59-й километр Московской Кольцевой Автодороги";"Западный административный округ";"район Кунцево";"А829; А642; А660; А816";"58-й км МКАД";"от центра";"да";"ГУП «Мосгортранс»";"активна";"1725460";"{type=Point, coordinates=[37.3694138003875, 55.7536078431013]}";
"15336";"«Бюро судебно-медицинской экспертизы (выс., пос.)», Тарный проезд (в центр)";"37.6295679311072";"55.6386159304661";"Тарный проезд";"Южный административный округ";"район Царицыно";"А839";"Бюро судебно-медицинской экспертизы (выс., пос.)";"в центр";"нет";"";"активна";"1725461";"{type=Point, coordinates=[37.6295679616978, 55.6386155611574]}";
"15338";"«Покровское-Стрешнево», Волоколамское шоссе (в центр)";"37.476923410468";"55.8124612300241";"Волоколамское шоссе";"Северо-Западный административный округ";"район Щукино";"Тб70; Тб82; А412; А456; А88; АО6; АМ1";"Покровское-Стрешнево";"в центр";"да";"ГУП «Мосгортранс»";"активна";"1725462";"{type=Point, coordinates=[37.4769234425724, 55.8124608619252]}";
"16075";"«Старокачаловская ул.», бульвар Дмитрия Донского (в центр)";"37.5784996254006";"55.5722296439954";"бульвар Дмитрия Донского";"Юго-Западный административный округ";"район Северное Бутово";"А213; А668; А813; А108";"Старокачаловская ул.";"в центр";"нет";"";"активна";"1725464";"{type=Point, coordinates=[37.578499655915, 55.5722292744852]}";
